0,fname,matricule,departmet,levels,sex,db1,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110
1449,ECN 201,HIMS/01/13/0212,ACCOUNTANCY,200,1,2013/2014,15,47,37.2,3,186,0,,,,
1450,ECN 201,HIMS/01/13/0212,ACCOUNTANCY,200,,2013/2014,15,Validated,,,,,,,,
1451,ECN 203,HIMS/01/13/0212,ACCOUNTANCY,200,1,2013/2014,24,56,48,3,240,,,,,
1452,ECN 203,HIMS/01/13/0212,ACCOUNTANCY,200,,2013/2014,24,Validated,,,,,,,,
1453,ECN 206,HIMS/01/13/0212,ACCOUNTANCY,200,Not Eligible,2013/2014,,Not Eligible,,,,,,,,
1454,ENG 101,HIMS/01/13/0212,ACCOUNTANCY,200,1,2013/2014,18,53,28.4,2,142,,,,,
1455,ENG 101,HIMS/01/13/0212,ACCOUNTANCY,200,,2013/2014,18,Validated,,,,,,,,
1456,FRE 101,HIMS/01/13/0212,ACCOUNTANCY,200,1,2013/2014,13,48,24.4,2,122,0,,,,
1457,FRE 101,HIMS/01/13/0212,ACCOUNTANCY,200,,2013/2014,13,Validated,,,,,,,,
1458,INS 201,HIMS/01/13/0212,ACCOUNTANCY,200,1,2013/2014,25,40,39,3,195,,,,,
1459,INS 201,HIMS/01/13/0212,ACCOUNTANCY,200,,2013/2014,25,Validated,,,,,,,,
1460,LAW 201,HIMS/01/13/0212,ACCOUNTANCY,200,1,2013/2014,19,49,13.6,1,68,,,,,
1461,LAW 201,HIMS/01/13/0212,ACCOUNTANCY,200,,2013/2014,19,Validated,,,,,,,,
1462,LAW 202,HIMS/01/13/0212,ACCOUNTANCY,200,Not Eligible,2013/2014,,Not Eligible,,,,,,,,
1463,MGS 201,HIMS/01/13/0212,ACCOUNTANCY,200,1,2013/2014,17,41,34.8,3,174,0,,,,
1464,MGS 201,HIMS/01/13/0212,ACCOUNTANCY,200,,2013/2014,17,Validated,,,,,,,,
1465,MGS 204,HIMS/01/13/0212,ACCOUNTANCY,200,Not Eligible,2013/2014,,Not Eligible,,,,,,,,
1466,MKG 201,HIMS/01/13/0212,ACCOUNTANCY,200,1,2013/2014,20,45,39,3,195,,,,,
1467,MKG 201,HIMS/01/13/0212,ACCOUNTANCY,200,,2013/2014,20,Validated,,,,,,,,
1468,ACY212,HIMS/01/13/0212,ACCOUNTANCY,200,2,2013/2014,26,35,0,3,183,,,,,
1469,ACY 202,HIMS/01/13/0212,ACCOUNTANCY,200,2,2013/2014,21,38,0,3,177,,,,,
1470,ACY 204,HIMS/01/13/0212,ACCOUNTANCY,200,2,2013/2014,20,35,0,0,0,,,,,
1471,ACY 208,HIMS/01/13/0212,ACCOUNTANCY,200,2,2013/2014,18,60,0,3,234,,,,,
1472,MGS 204,HIMS/01/13/0212,ACCOUNTANCY,200,2,2013/2014,16.5,47,0,2,127,,,,,
1473,CSC 202,HIMS/01/13/0212,ACCOUNTANCY,200,2,2013/2014,24,33.5,0,2,115,,,,,
1474,LAW 202,HIMS/01/13/0212,ACCOUNTANCY,200,2,2013/2014,20,37,0,1,57,,,,,
1475,ACY 210,HIMS/01/13/0212,ACCOUNTANCY,200,2,2013/2014,21,17,0,3,114,,,,,
1476,ECN 206,HIMS/01/13/0212,ACCOUNTANCY,200,2,2013/2014,35,25,0,3,180,,,,,
1477,ACY 210,HIMS/01/13/0212,ACCOUNTANCY,200,3,2013/2014,21,46,40.2,3,,,,,,
1478,ACY 201,HIMS/01/13/0213,ACCOUNTANCY,200,1,2013/2014,16,36,31.2,3,156,0,,,,
1479,ACY 201,HIMS/01/13/0213,ACCOUNTANCY,200,,2013/2014,16,Validated,,,,,,,,
1480,ACY 202,HIMS/01/13/0213,ACCOUNTANCY,200,2,2013/2014,10,38,0,3,144,0,,,,
1481,ACY 202,HIMS/01/13/0213,ACCOUNTANCY,200,3,2013/2014,10,,6,3,,,,,,
1482,ACY 208,HIMS/01/13/0213,ACCOUNTANCY,200,2,2013/2014,9,27,0,3,108,0,,,,
1483,ACY 208,HIMS/01/13/0213,ACCOUNTANCY,200,3,2013/2014,9,44,31.8,3,,,,,,
1484,ACY 210,HIMS/01/13/0213,ACCOUNTANCY,200,2,2013/2014,12.5,14,0,3,79.5,0,,,,
1485,ACY 210,HIMS/01/13/0213,ACCOUNTANCY,200,3,2013/2014,12.5,56,41.1,3,,,,,,
1486,ACY212,HIMS/01/13/0213,ACCOUNTANCY,200,2,2013/2014,20,40,0,3,180,0,,,,
1487,ACY212,HIMS/01/13/0213,ACCOUNTANCY,200,,2013/2014,20,Validated,,,,,,,,
1488,BNF 201,HIMS/01/13/0213,ACCOUNTANCY,200,1,2013/2014,18,22,24,3,120,0,,,,
1489,BNF 201,HIMS/01/13/0213,ACCOUNTANCY,200,3,2013/2014,18,51,41.4,3,,,,,,
1490,CSC 202,HIMS/01/13/0213,ACCOUNTANCY,200,2,2013/2014,4,24,0,2,56,0,,,,
1491,CSC 202,HIMS/01/13/0213,ACCOUNTANCY,200,3,2013/2014,4,60,25.6,2,,,,,,
1492,ECN 201,HIMS/01/13/0213,ACCOUNTANCY,200,1,2013/2014,18,33,30.6,3,153,0,,,,
1493,ECN 201,HIMS/01/13/0213,ACCOUNTANCY,200,,2013/2014,18,Validated,,,,,,,,
1494,ECN 203,HIMS/01/13/0213,ACCOUNTANCY,200,1,2013/2014,6,40,27.6,3,138,0,,,,
1495,ECN 203,HIMS/01/13/0213,ACCOUNTANCY,200,3,2013/2014,6,55,36.6,3,,,,,,
1496,ECN 206,HIMS/01/13/0213,ACCOUNTANCY,200,2,2013/2014,18,42,0,3,180,0,,,,
1497,ECN 206,HIMS/01/13/0213,ACCOUNTANCY,200,,2013/2014,18,Validated,,,,,,,,
1498,ENG 101,HIMS/01/13/0213,ACCOUNTANCY,200,1,2013/2014,19,39,23.2,2,116,0,,,,
1499,ENG 101,HIMS/01/13/0213,ACCOUNTANCY,200,,2013/2014,19,Validated,,,,,,,,
1500,FRE 101,HIMS/01/13/0213,ACCOUNTANCY,200,1,2013/2014,21,48,27.6,2,138,0,,,,
1501,FRE 101,HIMS/01/13/0213,ACCOUNTANCY,200,,2013/2014,21,Validated,,,,,,,,
1502,INS 201,HIMS/01/13/0213,ACCOUNTANCY,200,1,2013/2014,29,41,42,3,210,0,,,,
1503,INS 201,HIMS/01/13/0213,ACCOUNTANCY,200,,2013/2014,29,Validated,,,,,,,,
1504,LAW 201,HIMS/01/13/0213,ACCOUNTANCY,200,1,2013/2014,26,48,14.8,1,74,0,,,,
1505,LAW 201,HIMS/01/13/0213,ACCOUNTANCY,200,,2013/2014,26,Validated,,,,,,,,
1506,LAW 202,HIMS/01/13/0213,ACCOUNTANCY,200,2,2013/2014,18,47,0,1,65,0,,,,
1507,LAW 202,HIMS/01/13/0213,ACCOUNTANCY,200,,2013/2014,18,Validated,,,,,,,,
1508,MGS 201,HIMS/01/13/0213,ACCOUNTANCY,200,1,2013/2014,10,51,36.6,3,183,0,,,,
1509,MGS 201,HIMS/01/13/0213,ACCOUNTANCY,200,,2013/2014,10,Validated,,,,,,,,
1510,MGS 204,HIMS/01/13/0213,ACCOUNTANCY,200,2,2013/2014,16,46,0,2,124,0,,,,
1511,MGS 204,HIMS/01/13/0213,ACCOUNTANCY,200,,2013/2014,16,Validated,,,,,,,,
1512,MKG 201,HIMS/01/13/0213,ACCOUNTANCY,200,1,2013/2014,6,25,18.6,3,93,0,,,,
1513,MKG 201,HIMS/01/13/0213,ACCOUNTANCY,200,3,2013/2014,6,48,32.4,3,,,,,,
1514,ACY 201,HIMS/01/13/0215,ACCOUNTANCY,200,1,2013/2014,27,40,40.2,3,201,0,,,,
1515,ACY 202,HIMS/01/13/0215,ACCOUNTANCY,200,2,2013/2014,22,53,0,3,225,0,,,,
1516,ACY 208,HIMS/01/13/0215,ACCOUNTANCY,200,2,2013/2014,19,50,0,3,207,0,,,,
1517,ACY 210,HIMS/01/13/0215,ACCOUNTANCY,200,2,2013/2014,19,32,0,3,153,0,,,,
1518,ACY212,HIMS/01/13/0215,ACCOUNTANCY,200,2,2013/2014,23.5,40,0,3,190.5,0,,,,
1519,BNF 201,HIMS/01/13/0215,ACCOUNTANCY,200,1,2013/2014,24,48,43.2,3,216,0,,,,
1520,CSC 202,HIMS/01/13/0215,ACCOUNTANCY,200,2,2013/2014,19,33,0,2,104,0,,,,
1521,ECN 201,HIMS/01/13/0215,ACCOUNTANCY,200,1,2013/2014,17,47,38.4,3,192,0,,,,
1522,ECN 203,HIMS/01/13/0215,ACCOUNTANCY,200,1,2013/2014,23,63,51.6,3,258,0,,,,
1523,ECN 206,HIMS/01/13/0215,ACCOUNTANCY,200,2,2013/2014,17,49,0,3,198,0,,,,
1524,ENG 101,HIMS/01/13/0215,ACCOUNTANCY,200,1,2013/2014,18,39,22.8,2,114,0,,,,
1525,FRE 101,HIMS/01/13/0215,ACCOUNTANCY,200,1,2013/2014,12,42,21.6,2,108,0,,,,
1526,INS 201,HIMS/01/13/0215,ACCOUNTANCY,200,1,2013/2014,23,50,43.8,3,219,0,,,,
1527,LAW 201,HIMS/01/13/0215,ACCOUNTANCY,200,1,2013/2014,18,47,13,1,65,0,,,,
1528,LAW 202,HIMS/01/13/0215,ACCOUNTANCY,200,2,2013/2014,16.5,36,0,1,52.5,0,,,,
1529,MGS 201,HIMS/01/13/0215,ACCOUNTANCY,200,1,2013/2014,19,39,34.8,3,174,0,,,,
1530,MGS 204,HIMS/01/13/0215,ACCOUNTANCY,200,2,2013/2014,17,50,0,2,134,0,,,,
1531,MKG 201,HIMS/01/13/0215,ACCOUNTANCY,200,1,2013/2014,21,54,45,3,225,0,,,,
1532,ACY 201,HIMS/01/13/0221,ACCOUNTANCY,200,1,2013/2014,20,24,26.4,3,132,0,,,,
1533,ACY 201,HIMS/01/13/0221,ACCOUNTANCY,200,3,2013/2014,20,31,30.6,3,,,,,,
1534,ACY 202,HIMS/01/13/0221,ACCOUNTANCY,200,2,2013/2014,13,32,0,3,135,0,,,,
1535,ACY 202,HIMS/01/13/0221,ACCOUNTANCY,200,3,2013/2014,13,44,34.2,3,,,,,,
1536,ACY 208,HIMS/01/13/0221,ACCOUNTANCY,200,2,2013/2014,8,23,0,3,93,0,,,,
1537,ACY 208,HIMS/01/13/0221,ACCOUNTANCY,200,3,2013/2014,8,,4.8,3,,,,,,
1538,ACY 210,HIMS/01/13/0221,ACCOUNTANCY,200,2,2013/2014,,10,0,3,30,0,,,,
1539,ACY 210,HIMS/01/13/0221,ACCOUNTANCY,200,3,2013/2014,,50,30,3,,,,,,
1540,ACY212,HIMS/01/13/0221,ACCOUNTANCY,200,2,2013/2014,28,20,0,3,144,0,,,,
1541,ACY212,HIMS/01/13/0221,ACCOUNTANCY,200,3,2013/2014,28,,16.8,3,,,,,,
1542,BNF 201,HIMS/01/13/0221,ACCOUNTANCY,200,1,2013/2014,16,25,24.6,3,123,0,,,,
1543,BNF 201,HIMS/01/13/0221,ACCOUNTANCY,200,3,2013/2014,16,,9.6,3,,,,,,
1544,CSC 202,HIMS/01/13/0221,ACCOUNTANCY,200,2,2013/2014,3,31,0,2,68,0,,,,
1545,CSC 202,HIMS/01/13/0221,ACCOUNTANCY,200,3,2013/2014,3,,1.2,2,,,,,,
1546,ECN 201,HIMS/01/13/0221,ACCOUNTANCY,200,1,2013/2014,15,33,28.8,3,144,0,,,,
1547,ECN 201,HIMS/01/13/0221,ACCOUNTANCY,200,3,2013/2014,15,38,31.8,3,,,,,,
1548,ECN 203,HIMS/01/13/0221,ACCOUNTANCY,200,1,2013/2014,15,38,31.8,3,159,0,,,,
1549,ECN 203,HIMS/01/13/0221,ACCOUNTANCY,200,,2013/2014,15,Validated,,,,,,,,
1550,ECN 206,HIMS/01/13/0221,ACCOUNTANCY,200,2,2013/2014,8,28,0,3,108,0,,,,
1551,ECN 206,HIMS/01/13/0221,ACCOUNTANCY,200,3,2013/2014,8,,4.8,3,,,,,,
1552,ENG 101,HIMS/01/13/0221,ACCOUNTANCY,200,1,2013/2014,24,25,19.6,2,98,0,,,,
1553,ENG 101,HIMS/01/13/0221,ACCOUNTANCY,200,3,2013/2014,24,,9.6,2,,,,,,
1554,FRE 101,HIMS/01/13/0221,ACCOUNTANCY,200,1,2013/2014,10,36,18.4,2,92,0,,,,
1555,FRE 101,HIMS/01/13/0221,ACCOUNTANCY,200,3,2013/2014,10,,4,2,,,,,,
1556,INS 201,HIMS/01/13/0221,ACCOUNTANCY,200,1,2013/2014,16,24,24,3,120,0,,,,
1557,INS 201,HIMS/01/13/0221,ACCOUNTANCY,200,3,2013/2014,16,,9.6,3,,,,,,
1558,LAW 201,HIMS/01/13/0221,ACCOUNTANCY,200,1,2013/2014,14,33,9.4,1,47,0,,,,
1559,LAW 201,HIMS/01/13/0221,ACCOUNTANCY,200,3,2013/2014,14,,2.8,1,,,,,,
1560,LAW 202,HIMS/01/13/0221,ACCOUNTANCY,200,2,2013/2014,9,41,0,1,50,0,,,,
1561,LAW 202,HIMS/01/13/0221,ACCOUNTANCY,200,,2013/2014,9,Validated,,,,,,,,
1562,MGS 201,HIMS/01/13/0221,ACCOUNTANCY,200,1,2013/2014,14,36,30,3,150,0,,,,
1563,MGS 201,HIMS/01/13/0221,ACCOUNTANCY,200,,2013/2014,14,Validated,,,,,,,,
1564,MGS 204,HIMS/01/13/0221,ACCOUNTANCY,200,2,2013/2014,15,43,0,2,116,0,,,,
1565,MGS 204,HIMS/01/13/0221,ACCOUNTANCY,200,,2013/2014,15,Validated,,,,,,,,
1566,MKG 201,HIMS/01/13/0221,ACCOUNTANCY,200,1,2013/2014,10,33,25.8,3,129,0,,,,
1567,MKG 201,HIMS/01/13/0221,ACCOUNTANCY,200,3,2013/2014,10,,6,3,,,,,,
1568,ACY 201,HIMS/01/13/0225,ACCOUNTANCY,200,1,2013/2014,23,40,37.8,3,189,0,,,,
1569,ACY 201,HIMS/01/13/0225,ACCOUNTANCY,200,,2013/2014,23,Validated,,,,,,,,
1570,ACY 202,HIMS/01/13/0225,ACCOUNTANCY,200,2,2013/2014,13,46,0,3,177,0,,,,
1571,ACY 202,HIMS/01/13/0225,ACCOUNTANCY,200,,2013/2014,13,Validated,,,,,,,,
1572,ACY 208,HIMS/01/13/0225,ACCOUNTANCY,200,2,2013/2014,12,32,0,3,132,0,,,,
1573,ACY 208,HIMS/01/13/0225,ACCOUNTANCY,200,3,2013/2014,12,46,34.8,3,,,,,,
1574,ACY 210,HIMS/01/13/0225,ACCOUNTANCY,200,2,2013/2014,13,31,0,3,132,0,,,,
1575,ACY 210,HIMS/01/13/0225,ACCOUNTANCY,200,3,2013/2014,13,54,40.2,3,,,,,,
1576,ACY212,HIMS/01/13/0225,ACCOUNTANCY,200,2,2013/2014,18,34,0,3,156,0,,,,
1577,ACY212,HIMS/01/13/0225,ACCOUNTANCY,200,,2013/2014,18,Validated,,,,,,,,
1578,BNF 201,HIMS/01/13/0225,ACCOUNTANCY,200,1,2013/2014,18,37,33,3,165,0,,,,
1579,BNF 201,HIMS/01/13/0225,ACCOUNTANCY,200,,2013/2014,18,Validated,,,,,,,,
1580,CSC 202,HIMS/01/13/0225,ACCOUNTANCY,200,2,2013/2014,24.5,30,0,2,109,0,,,,
1581,CSC 202,HIMS/01/13/0225,ACCOUNTANCY,200,,2013/2014,24.5,Validated,,,,,,,,
1582,ECN 201,HIMS/01/13/0225,ACCOUNTANCY,200,1,2013/2014,24,44,40.8,3,204,0,,,,
1583,ECN 201,HIMS/01/13/0225,ACCOUNTANCY,200,,2013/2014,24,Validated,,,,,,,,
1584,ECN 203,HIMS/01/13/0225,ACCOUNTANCY,200,1,2013/2014,20,63,49.8,3,249,0,,,,
1585,ECN 203,HIMS/01/13/0225,ACCOUNTANCY,200,,2013/2014,20,Validated,,,,,,,,
1586,ECN 206,HIMS/01/13/0225,ACCOUNTANCY,200,2,2013/2014,18,43,0,3,183,0,,,,
1587,ECN 206,HIMS/01/13/0225,ACCOUNTANCY,200,,2013/2014,18,Validated,,,,,,,,
1588,ENG 101,HIMS/01/13/0225,ACCOUNTANCY,200,1,2013/2014,17,31,19.2,2,96,0,,,,
1589,ENG 101,HIMS/01/13/0225,ACCOUNTANCY,200,3,2013/2014,17,,6.8,2,,,,,,
1590,FRE 101,HIMS/01/13/0225,ACCOUNTANCY,200,1,2013/2014,13,50,25.2,2,126,0,,,,
1591,FRE 101,HIMS/01/13/0225,ACCOUNTANCY,200,,2013/2014,13,Validated,,,,,,,,
1592,INS 201,HIMS/01/13/0225,ACCOUNTANCY,200,1,2013/2014,20,46,39.6,3,198,0,,,,
1593,INS 201,HIMS/01/13/0225,ACCOUNTANCY,200,,2013/2014,20,Validated,,,,,,,,
1594,LAW 201,HIMS/01/13/0225,ACCOUNTANCY,200,1,2013/2014,18,51,13.8,1,69,0,,,,
1595,LAW 201,HIMS/01/13/0225,ACCOUNTANCY,200,,2013/2014,18,Validated,,,,,,,,
1596,LAW 202,HIMS/01/13/0225,ACCOUNTANCY,200,2,2013/2014,19.5,46,0,1,65.5,0,,,,
1597,LAW 202,HIMS/01/13/0225,ACCOUNTANCY,200,,2013/2014,19.5,Validated,,,,,,,,
1598,MGS 201,HIMS/01/13/0225,ACCOUNTANCY,200,1,2013/2014,17,35,31.2,3,156,0,,,,
1599,MGS 201,HIMS/01/13/0225,ACCOUNTANCY,200,,2013/2014,17,Validated,,,,,,,,
1600,MGS 204,HIMS/01/13/0225,ACCOUNTANCY,200,2,2013/2014,14,43,0,2,114,0,,,,
1601,MGS 204,HIMS/01/13/0225,ACCOUNTANCY,200,,2013/2014,14,Validated,,,,,,,,
1602,MKG 201,HIMS/01/13/0225,ACCOUNTANCY,200,1,2013/2014,18,56,44.4,3,222,0,,,,
1603,MKG 201,HIMS/01/13/0225,ACCOUNTANCY,200,,2013/2014,18,Validated,,,,,,,,
1604,ACY 201,HIMS/01/13/0226,ACCOUNTANCY,200,1,2013/2014,,,0,3,0,0,,,,
1605,ACY 202,HIMS/01/13/0226,ACCOUNTANCY,200,2,2013/2014,,,0,3,0,0,,,,
1606,ACY 208,HIMS/01/13/0226,ACCOUNTANCY,200,2,2013/2014,,,0,3,0,0,,,,
1607,ACY 210,HIMS/01/13/0226,ACCOUNTANCY,200,2,2013/2014,,,0,3,0,0,,,,
1608,ACY212,HIMS/01/13/0226,ACCOUNTANCY,200,2,2013/2014,,,0,3,0,0,,,,
1609,BNF 201,HIMS/01/13/0226,ACCOUNTANCY,200,1,2013/2014,18,,10.8,3,54,0,,,,
1610,CSC 202,HIMS/01/13/0226,ACCOUNTANCY,200,2,2013/2014,,,0,2,0,0,,,,
1611,ECN 201,HIMS/01/13/0226,ACCOUNTANCY,200,1,2013/2014,,,0,3,0,0,,,,
1612,ECN 203,HIMS/01/13/0226,ACCOUNTANCY,200,1,2013/2014,,,0,3,0,0,,,,
1613,ECN 206,HIMS/01/13/0226,ACCOUNTANCY,200,2,2013/2014,,,0,3,0,0,,,,
1614,ENG 101,HIMS/01/13/0226,ACCOUNTANCY,200,1,2013/2014,19,45,25.6,2,128,0,,,,
1615,FRE 101,HIMS/01/13/0226,ACCOUNTANCY,200,1,2013/2014,15,26,16.4,2,82,0,,,,
1616,INS 201,HIMS/01/13/0226,ACCOUNTANCY,200,1,2013/2014,,,0,3,0,0,,,,
1617,LAW 201,HIMS/01/13/0226,ACCOUNTANCY,200,1,2013/2014,,,0,1,0,0,,,,
1618,LAW 202,HIMS/01/13/0226,ACCOUNTANCY,200,2,2013/2014,,,0,1,0,0,,,,
1619,MGS 201,HIMS/01/13/0226,ACCOUNTANCY,200,1,2013/2014,,,0,3,0,0,,,,
1620,MGS 204,HIMS/01/13/0226,ACCOUNTANCY,200,2,2013/2014,,,0,2,0,0,,,,
1621,MKG 201,HIMS/01/13/0226,ACCOUNTANCY,200,1,2013/2014,,,0,3,0,0,,,,
1622,ACY 201,HIMS/01/13/0227,ACCOUNTANCY,200,1,2013/2014,14,23,22.2,3,111,0,,,,
1623,ACY 201,HIMS/01/13/0227,ACCOUNTANCY,200,3,2013/2014,14,17,18.6,3,,,,,,
1624,ACY 202,HIMS/01/13/0227,ACCOUNTANCY,200,2,2013/2014,12,44,0,3,168,0,,,,
1625,ACY 202,HIMS/01/13/0227,ACCOUNTANCY,200,,2013/2014,12,Validated,,,,,,,,
1626,ACY 208,HIMS/01/13/0227,ACCOUNTANCY,200,2,2013/2014,6,20,0,3,78,0,,,,
1627,ACY 208,HIMS/01/13/0227,ACCOUNTANCY,200,3,2013/2014,6,,3.6,3,,,,,,
1628,ACY 210,HIMS/01/13/0227,ACCOUNTANCY,200,2,2013/2014,,,0,3,0,0,,,,
1629,ACY 210,HIMS/01/13/0227,ACCOUNTANCY,200,Not Eligible,2013/2014,,Not Eligible,,,,,,,,
1630,ACY212,HIMS/01/13/0227,ACCOUNTANCY,200,2,2013/2014,17,18,0,3,105,0,,,,
1631,ACY212,HIMS/01/13/0227,ACCOUNTANCY,200,3,2013/2014,17,,10.2,3,,,,,,
1632,BNF 201,HIMS/01/13/0227,ACCOUNTANCY,200,1,2013/2014,14,25,23.4,3,117,0,,,,
1633,BNF 201,HIMS/01/13/0227,ACCOUNTANCY,200,3,2013/2014,14,46,36,3,,,,,,
1634,CSC 202,HIMS/01/13/0227,ACCOUNTANCY,200,2,2013/2014,20,31,0,2,102,0,,,,
1635,CSC 202,HIMS/01/13/0227,ACCOUNTANCY,200,,2013/2014,20,Validated,,,,,,,,
1636,ECN 201,HIMS/01/13/0227,ACCOUNTANCY,200,1,2013/2014,16,30,27.6,3,138,0,,,,
1637,ECN 201,HIMS/01/13/0227,ACCOUNTANCY,200,3,2013/2014,16,37,31.8,3,,,,,,
1638,ECN 203,HIMS/01/13/0227,ACCOUNTANCY,200,1,2013/2014,21,34,33,3,165,0,,,,
1639,ECN 203,HIMS/01/13/0227,ACCOUNTANCY,200,,2013/2014,21,Validated,,,,,,,,
1640,ECN 206,HIMS/01/13/0227,ACCOUNTANCY,200,2,2013/2014,12,44,0,3,168,0,,,,
1641,ECN 206,HIMS/01/13/0227,ACCOUNTANCY,200,,2013/2014,12,Validated,,,,,,,,
1642,ENG 101,HIMS/01/13/0227,ACCOUNTANCY,200,1,2013/2014,13,36,19.6,2,98,0,,,,
1643,ENG 101,HIMS/01/13/0227,ACCOUNTANCY,200,3,2013/2014,13,,5.2,2,,,,,,
1644,FRE 101,HIMS/01/13/0227,ACCOUNTANCY,200,1,2013/2014,10,33,17.2,2,86,0,,,,
1645,FRE 101,HIMS/01/13/0227,ACCOUNTANCY,200,3,2013/2014,10,,4,2,,,,,,
1646,INS 201,HIMS/01/13/0227,ACCOUNTANCY,200,1,2013/2014,12,31,25.8,3,129,0,,,,
1647,INS 201,HIMS/01/13/0227,ACCOUNTANCY,200,3,2013/2014,12,30,25.2,3,,,,,,
1648,LAW 201,HIMS/01/13/0227,ACCOUNTANCY,200,1,2013/2014,14,34,9.6,1,48,0,,,,
1649,LAW 201,HIMS/01/13/0227,ACCOUNTANCY,200,3,2013/2014,14,,2.8,1,,,,,,
1650,LAW 202,HIMS/01/13/0227,ACCOUNTANCY,200,2,2013/2014,13.5,33,0,1,46.5,0,,,,
1651,LAW 202,HIMS/01/13/0227,ACCOUNTANCY,200,3,2013/2014,13.5,45,11.7,1,,,,,,
1652,MGS 201,HIMS/01/13/0227,ACCOUNTANCY,200,1,2013/2014,16,30,27.6,3,138,0,,,,
1653,MGS 201,HIMS/01/13/0227,ACCOUNTANCY,200,3,2013/2014,16,,9.6,3,,,,,,
1654,MGS 204,HIMS/01/13/0227,ACCOUNTANCY,200,2,2013/2014,16,38,0,2,108,0,,,,
1655,MGS 204,HIMS/01/13/0227,ACCOUNTANCY,200,,2013/2014,16,Validated,,,,,,,,
1656,MKG 201,HIMS/01/13/0227,ACCOUNTANCY,200,1,2013/2014,8,33,24.6,3,123,0,,,,
1657,MKG 201,HIMS/01/13/0227,ACCOUNTANCY,200,3,2013/2014,8,34,25.2,3,,,,,,
1658,ACY 201,HIMS/01/13/0232,ACCOUNTANCY,200,1,2013/2014,12,16,16.8,3,84,0,,,,
1659,ACY 201,HIMS/01/13/0232,ACCOUNTANCY,200,3,2013/2014,12,16,16.8,3,,,,,,
1660,ACY 202,HIMS/01/13/0232,ACCOUNTANCY,200,2,2013/2014,,30,0,3,90,0,,,,
1661,ACY 202,HIMS/01/13/0232,ACCOUNTANCY,200,3,2013/2014,,38,22.8,3,,,,,,
1662,ACY 208,HIMS/01/13/0232,ACCOUNTANCY,200,2,2013/2014,9,27,0,3,108,0,,,,
1663,ACY 208,HIMS/01/13/0232,ACCOUNTANCY,200,3,2013/2014,9,33,25.2,3,,,,,,
1664,ACY 210,HIMS/01/13/0232,ACCOUNTANCY,200,2,2013/2014,,0,0,3,0,0,,,,
1665,ACY 210,HIMS/01/13/0232,ACCOUNTANCY,200,Not Eligible,2013/2014,,Not Eligible,,,,,,,,
1666,ACY212,HIMS/01/13/0232,ACCOUNTANCY,200,2,2013/2014,,,0,3,0,0,,,,
1667,ACY212,HIMS/01/13/0232,ACCOUNTANCY,200,Not Eligible,2013/2014,,Not Eligible,,,,,,,,
1668,BNF 201,HIMS/01/13/0232,ACCOUNTANCY,200,1,2013/2014,20,28,28.8,3,144,0,,,,
1669,BNF 201,HIMS/01/13/0232,ACCOUNTANCY,200,3,2013/2014,20,45,39,3,,,,,,
1670,CSC 202,HIMS/01/13/0232,ACCOUNTANCY,200,2,2013/2014,3,35,0,2,76,0,,,,
1671,CSC 202,HIMS/01/13/0232,ACCOUNTANCY,200,3,2013/2014,3,58,24.4,2,,,,,,
1672,ECN 201,HIMS/01/13/0232,ACCOUNTANCY,200,1,2013/2014,14,22,21.6,3,108,0,,,,
1673,ECN 201,HIMS/01/13/0232,ACCOUNTANCY,200,3,2013/2014,14,40,32.4,3,,,,,,
1674,ECN 203,HIMS/01/13/0232,ACCOUNTANCY,200,1,2013/2014,4,19,13.8,3,69,0,,,,
1675,ECN 203,HIMS/01/13/0232,ACCOUNTANCY,200,3,2013/2014,4,26,18,3,,,,,,
1676,ECN 206,HIMS/01/13/0232,ACCOUNTANCY,200,2,2013/2014,4,20,0,3,72,0,,,,
1677,ECN 206,HIMS/01/13/0232,ACCOUNTANCY,200,3,2013/2014,4,10,8.4,3,,,,,,
1678,ENG 101,HIMS/01/13/0232,ACCOUNTANCY,200,1,2013/2014,9,27,14.4,2,72,0,,,,
1679,ENG 101,HIMS/01/13/0232,ACCOUNTANCY,200,3,2013/2014,9,60,27.6,2,,,,,,
1680,FRE 101,HIMS/01/13/0232,ACCOUNTANCY,200,1,2013/2014,17,32,19.6,2,98,0,,,,
1681,FRE 101,HIMS/01/13/0232,ACCOUNTANCY,200,3,2013/2014,17,,6.8,2,,,,,,
1682,INS 201,HIMS/01/13/0232,ACCOUNTANCY,200,1,2013/2014,16,38,32.4,3,162,0,,,,
1683,INS 201,HIMS/01/13/0232,ACCOUNTANCY,200,,2013/2014,16,Validated,,,,,,,,
1684,LAW 201,HIMS/01/13/0232,ACCOUNTANCY,200,1,2013/2014,15,32,9.4,1,47,0,,,,
1685,LAW 201,HIMS/01/13/0232,ACCOUNTANCY,200,3,2013/2014,15,40,11,1,,,,,,
1686,LAW 202,HIMS/01/13/0232,ACCOUNTANCY,200,2,2013/2014,15,40,0,1,55,0,,,,
1687,LAW 202,HIMS/01/13/0232,ACCOUNTANCY,200,,2013/2014,15,Validated,,,,,,,,
1688,MGS 201,HIMS/01/13/0232,ACCOUNTANCY,200,1,2013/2014,17,33,30,3,150,0,,,,
1689,MGS 201,HIMS/01/13/0232,ACCOUNTANCY,200,,2013/2014,17,Validated,,,,,,,,
